experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,pf-classic,126,929.8181746031746,1023.8885714285715,65034.244557142854,0.3888888888888889,0.8034452724281429
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,pf-classic-sw,126,18.87047619047619,1052.0734126984128,657.8380103174603,0.09523809523809523,0.8010496646904461
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,round-robin,126,889.1001587301587,1051.9675396825396,59338.672825396825,0.2698412698412698,0.8034452724281429
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,round-robin-sw,126,22.25873015873016,1052.073253968254,787.8818246031746,0.09523809523809523,0.8049897670792321
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,aoi-normalized,254,19.195551181102363,1052.0966929133858,725.5226066929134,0.003937007874015748,0.8035866780529461
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,max-weight-drift,254,18.708582677165353,1052.0966929133858,686.5341350393701,0.003937007874015748,0.7905511811023622
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,max-weight-sw,254,18.597874015748033,1052.1003937007874,672.2753716535433,0,0.8493150684931506
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,mw-pe,254,18.603858267716536,1052.1003937007874,672.5391755905512,0,0.7611940298507462
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,pf-classic,254,991.0498425196851,1038.027716535433,88172.71853582677,0.1968503937007874,0.8037768404907976
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,pf-classic-sw,254,37.431338582677164,1052.0989763779528,1050.854870472441,0.007874015748031496,0.8023669777735014
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,round-robin,254,985.0811811023622,1052.057716535433,86513.46606181102,0.08661417322834646,0.8039685582822086
capacity_15min_sw_nsw_assimetrico,2,64,2r_static,static,2,round-robin-sw,254,43.66031496062992,1052.0990551181103,1342.0057011811023,0.007874015748031496,0.8018278018278018
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,aoi-normalized,6,1.245,178.19833333333332,163.74411666666668,16.666666666666668,0.8057998573805563
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,max-weight-drift,6,1.245,177.69166666666666,163.71916666666667,16.5,0.8083353141589414
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,max-weight-sw,6,2.4033333333333333,269.95166666666665,229.59385,10,0.8042308173738891
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,mw-pe,6,2.125,285.63,243.20406666666668,9.833333333333334,0.8040460134867117
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,pf-classic,6,1.2433333333333334,178.24333333333334,163.77393333333333,16.666666666666668,0.8056413913319072
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,pf-classic-sw,6,1.9,339.37666666666667,278.6517166666667,8,0.8053531834019639
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,round-robin,6,1.245,178.24166666666667,163.72238333333334,16.666666666666668,0.8057998573805563
capacity_15min_sw_nsw_assimetrico,4,2,2r_static,static,2,round-robin-sw,6,1.96,339.12333333333333,279.5314833333333,8,0.8057713651498335
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,aoi-normalized,14,26.103571428571428,267.87142857142857,547.1903214285715,10.214285714285714,0.8024853561066404
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,max-weight-drift,14,28.31642857142857,271.0914285714286,572.3859571428571,10.357142857142858,0.8022314005256664
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,max-weight-sw,14,2.407857142857143,270.65,231.00495714285714,10.071428571428571,0.7993016384636046
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,mw-pe,14,2.130714285714286,286.8014285714286,244.6326,9.571428571428571,0.8013535031847133
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,pf-classic,14,27.447142857142858,315.05285714285714,678.6392571428572,9.214285714285714,0.8026831295262971
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,pf-classic-sw,14,1.9035714285714285,341.2007142857143,280.9867,8,0.7983193277310925
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,round-robin,14,26.479285714285716,306.1857142857143,674.2628071428571,9.214285714285714,0.8028612133444141
capacity_15min_sw_nsw_assimetrico,4,4,2r_static,static,2,round-robin-sw,14,1.612142857142857,573.4671428571429,383.7221,4.428571428571429,0.7999049994062463
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,aoi-normalized,30,43.565666666666665,415.50933333333336,996.0145333333334,5.533333333333333,0.8023752087585823
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,max-weight-drift,30,44.56733333333333,415.3063333333333,1010.5488933333334,5.833333333333333,0.8012831937266085
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,max-weight-sw,30,3.131,504.72933333333333,355.33355666666665,4.833333333333333,0.802687235630754
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,mw-pe,30,3.396,490.6693333333333,353.68669,5.266666666666667,0.803094431903687
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,pf-classic,30,117.273,555.9576666666667,5518.912766666666,4.933333333333334,0.8028176445757703
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,pf-classic-sw,30,2.913,576.2786666666667,389.20649,4.433333333333334,0.8046433566433566
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,round-robin,30,113.694,550.6173333333334,3959.427526666667,4.966666666666667,0.8029231743351625
capacity_15min_sw_nsw_assimetrico,4,8,2r_static,static,2,round-robin-sw,30,2.3753333333333333,926.4976666666666,489.69214666666664,2.2666666666666666,0.8022187004754359
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,aoi-normalized,62,53.485,589.3033870967741,1478.8187951612904,2.7580645161290325,0.8013136288998358
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,max-weight-drift,62,55.1791935483871,576.0259677419355,1557.7591661290323,2.870967741935484,0.8008159449237177
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,max-weight-sw,62,3.447258064516129,1012.2054838709678,519.6491903225806,0.5967741935483871,0.80103753433018
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,mw-pe,62,5.545806451612903,871.215,489.2998177419355,2.403225806451613,0.8033584358482623
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,pf-classic,62,430.6166129032258,834.7667741935484,27741.793887096774,2.564516129032258,0.8030590822753174
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,pf-classic-sw,62,5.130645161290323,927.4106451612903,503.4005258064516,2.2903225806451615,0.8068140817483634
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,round-robin,62,299.75467741935483,890.1070967741936,13839.565872580646,2.5161290322580645,0.8029591122663201
capacity_15min_sw_nsw_assimetrico,4,16,2r_static,static,2,round-robin-sw,62,4.15983870967742,1039.3032258064516,530.3376903225807,1,0.8033803380338034
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,aoi-normalized,126,48.17,1001.5425396825397,1342.6481357142857,0.873015873015873,0.8029643353404354
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,max-weight-drift,126,17.920873015873017,1021.0326984126984,795.9189301587302,0.4523809523809524,0.8016880680998413
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,max-weight-sw,126,5.1131746031746035,1052.0984126984126,537.4854492063492,0.03968253968253968,0.7905759162303665
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,mw-pe,126,7.2178571428571425,1038.706746031746,548.0328412698412,0.25396825396825395,0.8057522446893934
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,pf-classic,126,759.6510317460318,992.2280952380953,54040.99331984127,1.2777777777777777,0.8027174442388234
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,pf-classic-sw,126,9.672619047619047,1040.753888888889,562.7259738095238,1.1111111111111112,0.8014278680452979
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,round-robin,126,725.3839682539683,1048.7130952380953,45750.80101587302,1.2857142857142858,0.8028635433914483
capacity_15min_sw_nsw_assimetrico,4,32,2r_static,static,2,round-robin-sw,126,7.806111111111111,1052.0703968253968,556.0706063492064,0.10317460317460317,0.8055339049103664
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,aoi-normalized,254,23.73515748031496,1041.351692913386,812.9461980314961,0.09055118110236221,0.8059823471722786
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,max-weight-drift,254,9.888110236220472,1051.2520866141733,588.692662992126,0.015748031496062992,0.8183146614710181
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,max-weight-sw,254,9.610787401574804,1052.1003937007874,567.946533464567,0,0.832183908045977
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,mw-pe,254,9.64232283464567,1052.1002362204724,569.2828866141732,0.011811023622047244,0.802027027027027
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,pf-classic,254,935.9765354330708,1024.3132677165354,83559.3910996063,0.40551181102362205,0.8028656601596307
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,pf-classic-sw,254,18.867204724409447,1052.075,676.921427952756,0.09448818897637795,0.7994606048930842
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,round-robin,254,889.7305118110236,1051.9705511811023,76069.02544803149,0.27165354330708663,0.803346475622656
capacity_15min_sw_nsw_assimetrico,4,64,2r_static,static,2,round-robin-sw,254,14.92716535433071,1052.098346456693,635.8233003937008,0.011811023622047244,0.8020602676422451
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,aoi-normalized,6,1.245,178.19833333333332,163.74411666666668,16.666666666666668,0.8057998573805563
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,max-weight-drift,6,1.245,177.69166666666666,163.71916666666667,16.5,0.8083353141589414
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,max-weight-sw,6,2.4050000000000002,269.95166666666665,229.59385,10,0.8044322023287843
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,mw-pe,6,2.125,285.63,243.20406666666668,9.833333333333334,0.8040460134867117
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,pf-classic,6,1.2433333333333334,178.24333333333334,163.77393333333333,16.666666666666668,0.8056413913319072
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,pf-classic-sw,6,1.9,339.37666666666667,278.6517166666667,8,0.8053531834019639
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,round-robin,6,1.245,178.24166666666667,163.72238333333334,16.666666666666668,0.8057998573805563
capacity_15min_sw_nsw_assimetrico,8,2,2r_static,static,2,round-robin-sw,6,1.96,339.12333333333333,279.5314833333333,8,0.8057713651498335
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,aoi-normalized,14,1.247142857142857,179.27,165.16590714285715,16.142857142857142,0.7992121973581446
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,max-weight-drift,14,1.2478571428571428,179.48214285714286,165.18002142857142,16,0.7985330571496485
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,max-weight-sw,14,2.407857142857143,270.65,231.00495714285714,10.071428571428571,0.7994734296921175
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,mw-pe,14,2.130714285714286,286.8014285714286,244.6326,9.571428571428571,0.8013535031847133
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,pf-classic,14,1.2464285714285714,179.22571428571428,165.13995,16.142857142857142,0.7995517674623926
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,pf-classic-sw,14,1.9035714285714285,341.2007142857143,280.9867,8,0.7983193277310925
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,round-robin,14,1.2478571428571428,179.12214285714285,165.05472857142857,16.142857142857142,0.7999252945770654
capacity_15min_sw_nsw_assimetrico,8,4,2r_static,static,2,round-robin-sw,14,1.612142857142857,573.4671428571429,383.7221,4.428571428571429,0.7999049994062463
capacity_15min_sw_nsw_assimetrico,8,8,2r_static,static,2,aoi-normalized,30,15.77,282.456,366.7312166666667,9.5,0.7992756804214223
capacity_15min_sw_nsw_assimetrico,8,8,2r_static,static,2,max-weight-drift,30,22.773666666666667,277.4376666666667,520.2407533333334,9.866666666666667,0.799805073360904
capacity_15min_sw_nsw_assimetrico,8,8,2r_static,static,2,max-weight-sw,30,2.4223333333333334,271.23766666666666,231.1971,10,0.8000754811926029
capacity_15min_sw_nsw_assimetrico,8,8,2r_static,static,2,mw-pe,30,2.1376666666666666,287.83866666666665,244.92576,9.566666666666666,0.7995957339290939
capacity_15min_sw_nsw_assimetrico,8,8,2r_static,static,2,pf-classic,30,28.088333333333335,321.7873333333333,682.50699,9.2,0.8000670447244183
capacity_15min_sw_nsw_assimetrico,8,8,2r_static,static,2,pf-classic-sw,30,1.9246666666666665,340.70933333333335,280.44524333333334,8,0.802291990730453
