experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,peak_h1,peak_h2,peak_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,max-weight-drift,14,50.98714285714286,401.18285714285713,1427.8440928571429,264,897,6170.4597,5.714285714285714,0.8033555159808792
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,max-weight-sw,6,3.5566666666666666,444.365,378.42973333333333,12,1468,448.7734,37.666666666666664,0.803752107925801
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,mw-pe,14,3.395,486.56714285714287,351.95817142857146,12,1008,398.8614,5.214285714285714,0.8028126870137642
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,pf-classic,14,120.4857142857143,550.1428571428571,5731.042178571429,746,1510,19771.6143,5,0.8032402234636872
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,pf-classic-sw,6,2.666666666666667,588.22,507.73834999999997,15,1029,588.0484,27.666666666666668,0.8051910873610382
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,round-robin,14,109.54428571428572,520.8342857142857,4499.7658357142855,394,1010,13523.3291,4.928571428571429,0.8032402234636872
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,round-robin-sw,6,2.9366666666666665,587.1766666666666,506.9363666666667,28,1051,587.8277,27.666666666666668,0.804552814553767
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,aoi-normalized,30,57.644666666666666,571.2246666666666,1811.9934633333332,262,1346,5733.0693,3.033333333333333,0.8051948051948052
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,aoi-sw,12,6.098333333333334,733.9033333333333,693.2240416666667,19,1622,839.8492,20.083333333333332,0.8009684751457654
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,max-weight-drift,30,58.585,568.7116666666667,1654.6091266666667,275,1313,3604.083,3.1333333333333333,0.8012290045063498
